name,id,artists,genres,explicit,release_date,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms
Drip (Feat. Jay Park),1FnN6ATqxWrAQkLDIhlsOm,"['Jessi', 'Jay Park']","{'k-rap', 'korean r&b', 'k-pop'}",False,2019-11-01,55,0.816,0.586,2,-4.836,1,0.314,0.139,0.0,0.15,0.564,131.944,212840
SOSO,5r8b02M37428Axrmya9Nrv,['WINNER'],"{'k-pop boy group', 'k-pop'}",False,2019-10-23,53,0.711,0.848,5,-4.333,0,0.0359,0.421,0.0,0.235,0.728,115.988,198277
Sweet Chaos,499qjESUqiZjlNI7XQhyLp,['DAY6'],"{'k-pop boy group', 'k-pop'}",False,2019-10-22,64,0.335,0.937,11,-1.895,0,0.0737,0.00502,0.0,0.51,0.529,199.692,227240
My New World,2W2oYLPmfIxp8rD8WH9dkp,['CIX'],{'k-pop'},False,2019-10-23,44,0.635,0.832,11,-2.621,1,0.0338,0.00171,0.0,0.279,0.377,149.893,214600
Make It Right (feat. Lauv),314ZkcV7oLWG8yWE7LABvH,"['BTS', 'Lauv']","{'k-pop boy group', 'pop', 'k-pop'}",False,2019-10-18,77,0.584,0.685,7,-7.811,1,0.425,0.0304,0.0,0.189,0.345,97.551,226321
SUPER Clap,52ubrjNeYr0bJNuYGmxfpV,['SUPER JUNIOR'],"{'k-pop boy group', 'k-pop'}",False,2019-10-14,56,0.768,0.951,0,-4.404,1,0.183,0.0452,0.0,0.275,0.878,140.026,209152
Fake & True,2sKWWJ5ee3EnKBztzxPpMH,['TWICE'],"{'k-pop girl group', 'k-pop'}",False,2019-10-18,58,0.678,0.808,5,-3.973,0,0.0599,0.0569,0.0,0.288,0.765,125.938,219625
SOMEONE'S SOMEONE,5eU51YmH3XzhzNRzkJns27,['Monsta X'],"{'k-pop boy group', 'k-pop'}",False,2020-02-13,62,0.824,0.449,5,-7.392,1,0.32,0.178,2.21e-06,0.1,0.459,95.058,141291
GOOD BAM,2iODlZgbroRzdfuxmFfPiH,['N.Flying'],"{'k-pop boy group', 'k-rock', 'k-pop'}",False,2019-10-15,50,0.741,0.898,7,-1.659,1,0.0672,0.279,0.0,0.156,0.8,108.021,210400
Double Knot,7vZseKiQOIuFxxfi84302k,['Stray Kids'],"{'k-pop boy group', 'k-pop'}",False,2019-10-09,61,0.716,0.814,5,-2.889,0,0.35,0.0486,0.0,0.607,0.575,146.925,189771
WONDERLAND,6k67RdkVjTZj79c1cRz7IQ,['ATEEZ'],"{'k-pop boy group', 'k-pop'}",False,2019-10-08,70,0.572,0.964,4,-1.949,0,0.123,0.0503,0.0,0.372,0.519,129.979,199013
BLIND FOR LOVE,4bUkJxCgAY9e9Tb0r4vOoy,['AB6IX'],"{'k-pop boy group', 'k-pop'}",False,2019-10-07,53,0.752,0.829,10,-4.471,0,0.0576,0.0175,0.0,0.0472,0.528,122.062,216992
Jopping,5WrEilrRI5cIW0DxMvQYPZ,['SuperM'],{'k-pop'},False,2019-10-04,70,0.74,0.835,10,-3.425,0,0.0839,0.0139,0.0,0.857,0.535,123.024,251293
