Post,Date,Artist,Song Name,Korean Name,Director,Video,Type,Release
,1/13/2020,2Z,My 1st Hero,,,Youtube,Boy,Major
,1/13/2020,Zico,Anysong,아무노래,,Youtube,Boy Solo,Major
,1/12/2020,Hara,Hello,,,Youtube,Girl Solo,Japanese
,1/12/2020,ENOi,Cheeky,,,Youtube,Boy,Major
,1/10/2020,ANS,Say My Name,,,Youtube,Girl,Major
,1/9/2020,Ong Seung Wu,We Belong,,,Youtube,Boy Solo,Major
,1/8/2020,Amber Liu,Stay Calm,,,Youtube,Girl Solo,Major
,1/8/2020,DreamNote,Wish,바라다,,Youtube,Girl,Major
,1/7/2020,Verivery,Lay Back,,,Youtube,Boy,Major
,1/7/2020,Red Velvet,Remember Forever,,,Youtube,Girl,Minor
,1/6/2020,B.O.Y,My Angel,,,Youtube,Boy,Major
,1/6/2020,Dustin,Burn,,,Youtube,Boy,Major
,1/6/2020,Younha,Dark Cloud,먹구름,,Youtube,Girl Solo,Major
,1/6/2020,ATEEZ,Answer,,,Youtube,Boy,Major
,1/5/2020,SF9,Good Guy,,,Youtube,Boy,Major
,1/4/2020,M.O.N.T,Tired,피곤,,Youtube,Boy,Major
,1/2/2020,MCND,Top Gang,,,Youtube,Boy,Major
,1/2/2020,TST,Count down,,,Youtube,Boy,Major
,1/1/2020,DONGKIZ,All I Need is You,,,Youtube,Boy,Major
Post,12/30/2019,Momoland,Thumbs Up,,,Youtube,Girl,Major
,12/26/2019,Jiyeon,Take A Hike,,,Youtube,Girl Solo,Major
,12/23/2019,Red Velvet,Psycho,,,Youtube,Girl,Major
,12/17/2019,Oneus,808,,,Youtube,Boy,Japanese
,12/15/2019,Woojoo jjokkomi,White Winter,,,Youtube,Boy,Special
,12/13/2019,Kim Jaehwan,The Time I Need,시간이 필요해,,Youtube,Boy Solo,Major
,12/11/2019,BoA,Starry Night faet. Crush,,,Youtube,Girl Solo,Major
,12/9/2019,Stray Kids,Levanter,바람,,Youtube,Boy,Major
,12/6/2019,JBJ95,Only One,,,Youtube,Boy,Major
,12/4/2019,Park Jihoon,360,,,Youtube,Boy Solo,Major
,12/3/2019,U-Kwon (Block B),Fuego feat. RGP,,,Youtube,Boy Solo,Major
,12/2/2019,Hi Cutie,Lovely Day,러블리데이,,Youtube,Girl,Minor
,11/30/2019,J.Y. Park,"Fever feat. Superbee, BIBI",,,Youtube,Boy Solo,Major
,11/28/2019,Limitless,Wish Wish,,,Youtube,Boy,Major
,11/28/2019,Newkidd,Come,컴,,Youtube,Boy,Major
,11/27/2019,EXO,Obsession,,,Youtube,Boy,Major
,11/26/2019,AOA,Come See Me,날 보러 와요,,Youtube,Girl,Major
,11/25/2019,Kang Daniel,Touchin',,,Youtube,Boy Solo,Major
,11/20/2019,ASTRO,Blue Flame,,,Youtube,Boy,Major
,11/19/2019,CIX,Numb,순수의 시대,,Youtube,Boy,Major
,11/19/2019,WJSN,As You Wish,이루리,,Youtube,Girl,Major
,11/18/2019,Golden Child,Wannabe,,ZANYBROS,Youtube,Boy,Major
,11/18/2019,IU,Blueming,블루밍,,Youtube,Girl Solo,Major
,11/14/2019,Mamamoo,Hip,,,Youtube,Girl,Major
,11/13/2019,IN2IT,ULlala: Poisoning,ULlala: 중독,,Youtube,Boy,Major
,11/13/2019,Stray Kids,Astronaut,,,Youtube,Boy,Major
,11/12/2019,Nature,OOPSIE (My Bad),,,Youtube,Girl,Major
,11/12/2019,Seven O'Clock,Midnight Sun,,,Youtube,Boy,Major
,11/10/2019,ATEEZ,UTOPIA (Japanese Ver.),,,Youtube,Boy,Japanese
,11/6/2019,The Boyz,Tattoo,,,Youtube,Boy,Japanese
,11/6/2019,1TEAM,Make This,,,Youtube,Boy,Major
,11/5/2019,BVNDIT,Dumb,,Rigend Film,Youtube,Girl,Major
,11/5/2019,Dawn,Money,,,Youtube,Boy Solo,Major
,11/5/2019,Hyuna,Flower Shower,,,Youtube,Girl Solo,Major
,11/5/2019,DONGKIZ,Fever,,,Youtube,Boy,Major
,11/4/2019,B.I.G,Illusion,,,Youtube,Boy,Major
,11/4/2019,GOT7,You Calling My Name,니가 부르는 나의 이름,,Youtube,Boy,Major
,11/4/2019,VICTON,nostalgic night,그리운 밤,,Youtube,Boy,Major
,11/3/2019,Hinapia,Drip,,,Youtube,Girl,Major
,11/3/2019,Nam Woohyun,When Fall Comes,가을이 오면,,Youtube,Boy Solo,Major
,11/1/2019,San (Hotshot),Free Falling (Eng Ver.),,,Youtube,Boy Solo,English
,11/1/2019,OnlyOneOf,Sage,구원,Wooje Kim,Youtube,Boy,Major
,11/1/2019,Jessi,Drip feat. Jay Park,,,Youtube,Girl Solo,Major
,10/31/2019,N.Flying,Kick-Ass,,,Youtube,Boy,Japanese
,10/31/2019,Zico,Balloon,,,Youtube,Boy Solo,Minor
,10/30/2019,We In The Zone,Loveade,,,Youtube,Boy,Major
,10/30/2019,GFRIEND,Fallin' Light,,,Youtube,Girl,Japanese
,10/30/2019,Yubin,Silent Movie feat. Yoon MiRae,,,Youtube,Girl Solo,Major
,10/29/2019,Hoody,Adios feat. GRAY,,,Youtube,Girl Solo,Major
,10/29/2019,A.C.E,Savage,삐딱선,,Youtube,Boy,Major
,10/28/2019,Taeyeon,Spark,불티,,Youtube,Girl Solo,Major
,10/28/2019,MONSTA X,Follow,,,Youtube,Boy,Major
,10/28/2019,Brown Eyed Girls,Abandoned,,,Youtube,Girl,Major
,10/28/2019,Brown Eyed Girls,Wonder Woman,,,Youtube,Girl,Major
,10/27/2019,WeGirls,Heart Beat,,,Youtube,Girl,Minor
,10/25/2019,Favorite,Catch Me,,,Youtube,Girl,Japanese
,10/25/2019,Sunny Hill,NomNomNom,놈놈놈,,Youtube,Girl,Major
,10/24/2019,M.O.N.T,The Korean Island Dokdo,독도는 우리땅,,Youtube,Boy,Major
,10/24/2019,Onewe,Regulus (Japanese ver.),,,Youtube,Boy,Japanese
,10/24/2019,Karin (WishGirls),Ka Ka Ka feat. Hyejin,,,Youtube,Girl,Special
,10/23/2019,Ariaz,Moonlight Aria,까만 밤의 아리아,,Youtube,Girl,Major
,10/23/2019,TVXQ!,Hot Sauce,,,Youtube,Boy,Japanese
,10/23/2019,Winner,SOSO,,,Youtube,Boy,Major
,10/22/2019,DAY6,Sweet Chaos,,,Youtube,Boy,Major
,10/22/2019,MONSTA X,Find You,,,Youtube,Boy,Minor
,10/22/2019,Youngjae,Forever Love,,,Youtube,Boy Solo,Major
,10/22/2019,Takeuchi Miyu,My Type,,,Youtube,Girl Solo,Special
,10/22/2019,CIX,My New World,,,Youtube,Boy,Major
,10/21/2019,NU'EST,Love Me,,,Youtube,Boy,Major
,10/21/2019,VAV,Poison,포이즌,,Youtube,Boy,Major
,10/21/2019,TXT,Run Away,9와 4분의 3 승강장에서 너를 기다려,,Youtube,Boy,Major
,10/20/2019,AleXa,Bomb,,,Youtube,Girl Solo,Major
,10/19/2019,Zelo,Drunken Master,,,Youtube,Boy Solo,Minor
,10/18/2019,BTS,Make It Right (feat Lauv),메이킷 롸잇,,Youtube,Boy,Minor
,10/17/2019,Super Junior,SUPER CLAP,슈퍼클랩,,Youtube,Boy,Major
,10/17/2019,1the9,Clap,속삭여,,Youtube,Boy,Major
,10/17/2019,Twice,Fake & True,,,Youtube,Girl,Japanese
,10/16/2019,MONSTA X,Someone's Someone,,,Youtube,Boy,English
,10/15/2019,Lim Kim,Yellow,,,Youtube,Girl Solo,Major
,10/15/2019,N.Flying,Good Bam,굿밤,,Youtube,Boy,Major
,10/14/2019,Lim Hyunsik,Dear Love,,,Youtube,Boy Solo,Major
,10/10/2019,Tiffany Young,Run For Your Life,,,Youtube,Girl Solo,English
,10/10/2019,Jung Daehyun,Aight,,,Youtube,Boy Solo,Major
,10/10/2019,Ladies' Code,SET ME FREE,,,Youtube,Girl,Major
,10/9/2019,Stray Kids,Double Knot,,,Youtube,Boy,Major
,10/8/2019,ATEEZ,Wonderland,,,Youtube,Boy,Major
,10/7/2019,GreatGuys,Be On You,비온유,,Youtube,Boy,Major
,10/7/2019,ONF,Why,,,Youtube,Boy,Major
,10/7/2019,AB6IX,Blind For Love,,,Youtube,Boy,Major
,10/4/2019,Super Junior,I Think I,,,Youtube,Boy,Minor
,10/4/2019,Limesoda,Wave,웨이브,,Youtube,Girl,Major
,10/3/2019,SuperM,Jopping,,,Youtube,Boy,Major
,10/2/2019,Zico,Extreme,,,Youtube,Boy Solo,Minor
,10/2/2019,Jeong Sewoon,When It Rains,비가 온대 그날처럼,,Youtube,Boy Solo,Major
,10/1/2019,ARGON,Give me dat,,,Youtube,Boy,Major
,9/30/2019,Chen (EXO),Shall We?,우리 어떻게 할까요,,Youtube,Boy Solo,Major
,9/30/2019,Zico,Human,사람,,Youtube,Boy Solo,Minor
,9/30/2019,Zico,"Daredavil feat. Jvcki Wai, Yumdda",천둥벌거숭이,,Youtube,Boy Solo,Major
,9/30/2019,Oneus,Lit,가자,ZANYBROS,Youtube,Boy,Major
,9/29/2019,PURPLEBECK,Dream Line,,,Youtube,Girl,Major
,9/28/2019,Minty,Arcadia,아르카디아,,Youtube,Girl Solo,Major
